 min_version | max_version | package_count 
-------------+-------------+---------------
         5.0 |         5.6 |            22
         5.0 |         7.0 |             1
         5.0 |         7.1 |             2
         5.0 |         7.2 |             2
         5.0 |         7.3 |             1
         5.0 |         7.4 |            33
         5.0 |         8.0 |             2
         5.0 |         8.1 |            24
         5.0 |         8.3 |            14
         5.0 |         8.4 |           984
         5.1 |         5.6 |             2
         5.1 |         7.4 |             2
         5.1 |         8.1 |             4
         5.1 |         8.3 |             5
         5.1 |         8.4 |           329
         5.2 |         5.3 |             1
         5.2 |         5.6 |             6
         5.2 |         7.1 |             1
         5.2 |         7.4 |            44
         5.2 |         8.1 |            47
         5.2 |         8.3 |            14
         5.2 |         8.4 |          1701
         5.3 |         5.3 |             9
         5.3 |         5.5 |             5
         5.3 |         5.6 |           142
         5.3 |         7.0 |             7
         5.3 |         7.1 |            10
         5.3 |         7.2 |             8
         5.3 |         7.4 |           937
         5.3 |         8.0 |             1
         5.3 |         8.1 |           729
         5.3 |         8.3 |           325
         5.3 |         8.4 |         28923
         5.4 |         5.4 |             9
         5.4 |         5.5 |             5
         5.4 |         5.6 |           204
         5.4 |         7.0 |             8
         5.4 |         7.1 |             1
         5.4 |         7.2 |             4
         5.4 |         7.3 |             1
         5.4 |         7.4 |           700
         5.4 |         8.0 |             2
         5.4 |         8.1 |           568
         5.4 |         8.2 |             3
         5.4 |         8.3 |           270
         5.4 |         8.4 |         22839
         5.5 |         5.5 |             6
         5.5 |         5.6 |           114
         5.5 |         7.0 |           316
         5.5 |         7.1 |           111
         5.5 |         7.2 |            58
         5.5 |         7.3 |            26
         5.5 |         7.4 |          1704
         5.5 |         8.1 |           430
         5.5 |         8.2 |             2
         5.5 |         8.3 |           203
         5.5 |         8.4 |         15005
         5.6 |         5.6 |           208
         5.6 |         7.0 |           117
         5.6 |         7.1 |            82
         5.6 |         7.2 |            54
         5.6 |         7.3 |            23
         5.6 |         7.4 |          2709
         5.6 |         8.0 |             8
         5.6 |         8.1 |           522
         5.6 |         8.2 |            16
         5.6 |         8.3 |           260
         5.6 |         8.4 |         15257
         7.0 |         7.0 |            53
         7.0 |         7.1 |           100
         7.0 |         7.2 |            67
         7.0 |         7.3 |            34
         7.0 |         7.4 |          5687
         7.0 |         8.0 |             8
         7.0 |         8.1 |           592
         7.0 |         8.2 |             7
         7.0 |         8.3 |           379
         7.0 |         8.4 |         19675
         7.1 |         7.1 |            60
         7.1 |         7.2 |            89
         7.1 |         7.3 |           133
         7.1 |         7.4 |          8400
         7.1 |         8.0 |             6
         7.1 |         8.1 |           577
         7.1 |         8.2 |            19
         7.1 |         8.3 |           408
         7.1 |         8.4 |         18369
         7.2 |         7.2 |            67
         7.2 |         7.3 |            37
         7.2 |         7.4 |          6102
         7.2 |         8.0 |            12
         7.2 |         8.1 |           436
         7.2 |         8.2 |            27
         7.2 |         8.3 |           385
         7.2 |         8.4 |         15118
         7.3 |         7.3 |            30
         7.3 |         7.4 |          2693
         7.3 |         8.0 |            67
         7.3 |         8.1 |           298
         7.3 |         8.2 |            28
         7.3 |         8.3 |           246
         7.3 |         8.4 |          9212
         7.4 |         7.4 |          2702
         7.4 |         8.0 |            90
         7.4 |         8.1 |           598
         7.4 |         8.2 |            89
         7.4 |         8.3 |           634
         7.4 |         8.4 |         19939
         8.0 |         8.0 |            33
         8.0 |         8.1 |           505
         8.0 |         8.2 |           131
         8.0 |         8.3 |           933
         8.0 |         8.4 |         22446
         8.1 |         8.1 |           269
         8.1 |         8.2 |           215
         8.1 |         8.3 |          1434
         8.1 |         8.4 |         22058
         8.2 |         8.2 |            36
         8.2 |         8.3 |           409
         8.2 |         8.4 |          9293
         8.3 |         8.3 |           118
         8.3 |         8.4 |          2424
         8.4 |         8.4 |            22

